periode,von,bis,variable,veraenderung_pct
1970/1980,1970,1980,erwerbstaetige,3.1
1970/1980,1970,1980,arbeitsvolumen,-8.2
1970/1980,1970,1980,arbeitsstunden_je_erwerbstaetigen,-11.0
1980/1990,1980,1990,erwerbstaetige,10.9
1980/1990,1980,1990,arbeitsvolumen,-0.1
1980/1990,1980,1990,arbeitsstunden_je_erwerbstaetigen,-9.9
1991/2000,1991,2000,erwerbstaetige,2.8
1991/2000,1991,2000,arbeitsvolumen,-3.1
1991/2000,1991,2000,arbeitsstunden_je_erwerbstaetigen,-5.7
2000/2010,2000,2010,erwerbstaetige,3.1
2000/2010,2000,2010,arbeitsvolumen,0.8
2000/2010,2000,2010,arbeitsstunden_je_erwerbstaetigen,-2.2
2010/2020,2010,2020,erwerbstaetige,8.2
2010/2020,2010,2020,arbeitsvolumen,-0.4
2010/2020,2010,2020,arbeitsstunden_je_erwerbstaetigen,-8.0
2020/2025,2020,2025,erwerbstaetige,2.3
2020/2025,2020,2025,arbeitsvolumen,3.7
2020/2025,2020,2025,arbeitsstunden_je_erwerbstaetigen,1.4
1970/1991,1970,1991,erwerbstaetige,17.6
1970/1991,1970,1991,arbeitsvolumen,-6.8
1970/1991,1970,1991,arbeitsstunden_je_erwerbstaetigen,-20.7
1991/2025,1991,2025,erwerbstaetige,18.3
1991/2025,1991,2025,arbeitsvolumen,1.4
1991/2025,1991,2025,arbeitsstunden_je_erwerbstaetigen,-14.2
